City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,sept-iles,50.2001,-66.3821,23.0,58,20,10.36,CA,1670193742
136,rio gallegos,-51.6226,-69.2181,64.45,20,20,37.98,AR,1670193775
137,camacha,33.0833,-16.3333,60.22,72,40,19.57,PT,1670193775
138,chambersburg,39.9376,-77.6611,37.35,65,39,3.0,US,1670193581
139,cayenne,4.9333,-52.3333,77.04,94,0,2.3,GF,1670193776
140,mnogovershinnyy,53.9353,139.9242,-16.51,87,97,6.73,RU,1670193776
141,torbay,47.6666,-52.7314,36.57,87,75,24.16,CA,1670193777
142,novokizhinginsk,51.6115,109.5917,2.97,89,95,13.29,RU,1670193777
143,puerto del rosario,28.5004,-13.8627,67.75,77,20,14.97,ES,1670193777
144,vao,-22.6667,167.4833,77.38,88,99,19.91,NC,1670193778
145,provideniya,64.3833,-173.3,33.91,93,100,22.37,RU,1670193778
146,adrar,20.5022,-10.0711,74.07,20,48,2.44,MR,1670193778
147,esperance,-33.8667,121.9,62.49,77,95,13.04,AU,1670193779
148,takoradi,4.8845,-1.7554,79.63,84,88,9.66,GH,1670193779
149,srednekolymsk,67.45,153.6833,-47.0,100,63,2.77,RU,1670193780
150,port hedland,-20.3167,118.5667,80.65,44,17,9.22,AU,1670193780
151,allapalli,19.4167,80.0667,60.01,72,13,2.06,IN,1670193780
152,anchorage,61.2181,-149.9003,25.63,90,100,4.61,US,1670193586
153,north branch,45.5113,-92.9802,34.09,63,1,1.99,US,1670193781
154,tautira,-17.7333,-149.15,79.18,80,41,15.14,PF,1670193781
155,jalingo,8.8833,11.3667,78.62,24,18,4.27,NG,1670193782
156,lagoa,39.05,-27.9833,59.41,70,100,9.89,PT,1670193782
157,inhambane,-23.865,35.3833,77.07,88,0,9.13,MZ,1670193783
158,taltal,-25.4,-70.4833,66.52,70,23,3.58,CL,1670193783
159,nyanguge,-2.55,33.2,71.65,74,100,7.2,TZ,1670193784
160,maraa,-1.8333,-65.3667,79.48,79,96,2.55,BR,1670193784
161,karratha,-20.7377,116.8463,85.59,40,2,11.97,AU,1670193784
162,kardla,58.9978,22.7492,30.29,87,98,6.42,EE,1670193785
163,anadyr,64.75,177.4833,10.9,84,20,26.84,RU,1670193786
164,ketchikan,55.3422,-131.6461,35.58,69,0,16.11,US,1670193786
165,boyolangu,-8.1181,111.8935,76.69,88,92,2.19,ID,1670193787
166,ust-tsilma,65.441,52.1498,-9.83,100,21,2.51,RU,1670193787
167,kailua,21.4022,-157.7394,80.91,75,53,1.99,US,1670193787
168,izhma,65.0083,53.9113,-10.07,99,13,2.39,RU,1670193788
169,turukhansk,65.8167,87.9833,7.83,96,100,9.22,RU,1670193788
170,svencioneliai,55.1667,26.0,23.4,88,100,9.04,LT,1670193789
171,godda,24.8333,87.2167,56.21,41,0,3.4,IN,1670193789
172,fortuna,40.5982,-124.1573,54.99,88,75,11.5,US,1670193547
173,avera,33.194,-82.5271,60.39,57,100,6.91,US,1670193790
174,imbituba,-28.24,-48.6703,72.93,98,95,5.86,BR,1670193791
175,yar-sale,66.8333,70.8333,16.36,88,57,11.95,RU,1670193791
176,ngunguru,-35.6167,174.5,64.94,62,0,7.92,NZ,1670193791
177,port elizabeth,-33.918,25.5701,62.1,97,100,6.91,ZA,1670193792
178,grindavik,63.8424,-22.4338,37.87,93,75,10.36,IS,1670193792
179,college,64.8569,-147.8028,17.55,85,75,0.0,US,1670193793
180,pangody,65.85,74.4859,22.57,94,100,15.14,RU,1670193793
181,bahia blanca,-38.7196,-62.2724,74.28,33,4,1.99,AR,1670193610
182,swan hill,-35.3378,143.5544,67.55,55,100,14.23,AU,1670193794
183,faridpur,23.6,89.8333,64.45,70,0,6.96,BD,1670193794
184,bodden town,19.2833,-81.25,82.4,65,40,13.8,KY,1670193795
185,leua,48.2156,18.6071,45.5,81,100,12.62,SK,1670193795
186,banepa,27.6298,85.5214,44.92,93,20,2.3,NP,1670193796
187,machali,-34.1833,-70.6667,85.28,30,0,6.91,CL,1670193796
188,longyearbyen,78.2186,15.6401,31.84,93,100,4.61,SJ,1670193708
189,linxia,35.6003,103.2064,21.79,56,0,1.43,CN,1670193797
190,tual,-5.6667,132.75,82.29,73,97,2.66,ID,1670193797
